	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0000772	AFZ52782	ACC82571	EKQ71022
OG0000773	AFZ52783	ACC82570	EKQ71021
OG0000774	AFZ52784	ACC79455	EKQ67769
OG0000775	AFZ52785	ACC79454	EKQ67770
OG0000776	AFZ52787	ACC82121	EKQ69669
OG0000777	AFZ52789	ACC83345	EKQ68513
OG0000778	AFZ52790	ACC79634	EKQ67485
OG0000779	AFZ52791	ACC79635	EKQ68892
OG0000780	AFZ52792	ACC82112	EKQ70995
OG0000781	AFZ52794	ACC84886	EKQ66730
OG0000782	AFZ52795	ACC80024	EKQ67500
OG0000783	AFZ52797	ACC82285	EKQ68671
OG0000784	AFZ52798	ACC84018	EKQ70577
OG0000785	AFZ52799	ACC81313	EKQ68702
OG0000786	AFZ52800	ACC78916	EKQ69568
OG0000787	AFZ52803	ACC84483	EKQ70936
OG0000788	AFZ52805	ACC83896	EKQ69103
OG0000789	AFZ52808	ACC79740	EKQ67498
OG0000790	AFZ52815	ACC82036	EKQ66663
OG0000791	AFZ52817	ACC79622	EKQ68623
OG0000792	AFZ52818	ACC84175	EKQ70994
OG0000793	AFZ52820	ACC84684	EKQ69147
OG0000794	AFZ52821	ACC84683	EKQ69148
OG0000795	AFZ52822	ACC80267, ACC81735	
OG0000796	AFZ52823	ACC84323	EKQ70962
OG0000797	AFZ52824	ACC83854	EKQ69821
OG0000798	AFZ52825	ACC83855	EKQ69822
OG0000799	AFZ52826	ACC83856	EKQ69823
OG0000800	AFZ52827	ACC83857	EKQ69824
OG0000801	AFZ52828	ACC83858	EKQ69825
OG0000802	AFZ52829	ACC83859	EKQ69826
OG0000803	AFZ52830	ACC84480	EKQ69704
OG0000804	AFZ52831	ACC82508	EKQ71268
OG0000805	AFZ52834	ACC80238	EKQ68539
OG0000806	AFZ52835	ACC83540	EKQ67184
OG0000807	AFZ52837	ACC80390	EKQ71137
OG0000808	AFZ52838	ACC82643	EKQ69407
OG0000809	AFZ52839	ACC82642	EKQ69406
OG0000810	AFZ52840	ACC79814	EKQ66705
OG0000811	AFZ52841	ACC83305	EKQ69075
OG0000812	AFZ52842	ACC82647	EKQ69251
OG0000813	AFZ52843	ACC82646	EKQ69252
OG0000814	AFZ52846	ACC83284	EKQ68915
OG0000815	AFZ52847	ACC80224	EKQ70018
OG0000816	AFZ52849	ACC82300	EKQ68252
OG0000817	AFZ52850	ACC79883	EKQ69057
OG0000818	AFZ52854	ACC81224	EKQ67639
OG0000819	AFZ52856	ACC81260	EKQ67209
OG0000820	AFZ52858	ACC84650	EKQ69482
OG0000821	AFZ52860	ACC82252	EKQ66610
OG0000822	AFZ52864	ACC81462	EKQ70096
OG0000823	AFZ52865	ACC81461	EKQ70095
OG0000824	AFZ52866	ACC82687	EKQ68943
OG0000825	AFZ52867	ACC82238	EKQ69864
OG0000826	AFZ52868	ACC82237	EKQ68040
OG0000827	AFZ52869	ACC82049	EKQ68520
OG0000828	AFZ52871	ACC81350	EKQ69700
OG0000829	AFZ52874	ACC82361	EKQ68855
OG0000830	AFZ52875	ACC79860	EKQ68509
OG0000831	AFZ52876	ACC82713	EKQ67775
OG0000832	AFZ52877	ACC82714	EKQ69388
OG0000833	AFZ52880	ACC80403	EKQ70543
OG0000834	AFZ52882	ACC83516	EKQ69344
OG0000835	AFZ52883	ACC84261	EKQ70655
OG0000836	AFZ52884	ACC83360	EKQ69261
OG0000837	AFZ52886	ACC79892	EKQ69061
OG0000838	AFZ52887	ACC79893	EKQ69062
OG0000839	AFZ52888	ACC81336	EKQ70706
OG0000840	AFZ52889	ACC81062	EKQ67785
OG0000841	AFZ52890	ACC79396	EKQ69373
OG0000842	AFZ52891	ACC82242	EKQ68669
OG0000843	AFZ52894	ACC84236	EKQ67959
OG0000844	AFZ52895	ACC84235	EKQ67961
OG0000845	AFZ52897	ACC80209	EKQ67851
OG0000846	AFZ52898	ACC83211	EKQ68844
OG0000847	AFZ52899	ACC83210	EKQ68843
OG0000848	AFZ52900	ACC83209	EKQ68842
OG0000849	AFZ52901	ACC83208	EKQ68841
OG0000850	AFZ52902	ACC83207	EKQ68840
OG0000851	AFZ52903	ACC83206	EKQ68839
OG0000852	AFZ52904	ACC83205	EKQ68838
OG0000853	AFZ52905	ACC83204	EKQ68837
OG0000854	AFZ52908	ACC81430	EKQ70987
OG0000855	AFZ52909	ACC78882	EKQ69313
OG0000856	AFZ52913	ACC79383	EKQ70873
OG0000857	AFZ52914	ACC83496	EKQ67455
OG0000858	AFZ52917	ACC79094	EKQ70955
OG0000859	AFZ52918	ACC84669	EKQ68482
OG0000860	AFZ52919	ACC83949	EKQ69636
OG0000861	AFZ52922	ACC81460	EKQ70094
OG0000862	AFZ52926	ACC80377	EKQ67689
OG0000863	AFZ52928	ACC82405	EKQ68312
OG0000864	AFZ52929	ACC82404	EKQ68313
OG0000865	AFZ52930	ACC82920	EKQ69174
OG0000866	AFZ52935	ACC81879	EKQ66879
OG0000867	AFZ52936	ACC81878	EKQ66881
OG0000868	AFZ52937	ACC82645	EKQ69409
OG0000869	AFZ52940	ACC78828	EKQ69602
OG0000870	AFZ52941	ACC82653	EKQ69755
OG0000871	AFZ52944	ACC79226	EKQ70823
OG0000872	AFZ52945	ACC79225	EKQ70822
OG0000873	AFZ52952	ACC81917, ACC85193	
OG0000874	AFZ52953	ACC79680	EKQ68042
OG0000875	AFZ52954	ACC79560	EKQ68965
OG0000876	AFZ52956	ACC82670	EKQ68613
OG0000877	AFZ52957	ACC82669	EKQ68614
OG0000878	AFZ52958	ACC82668	EKQ68615
OG0000879	AFZ52963	ACC82230	EKQ69701
OG0000880	AFZ52966	ACC82331	EKQ70754
OG0000881	AFZ52967	ACC84472	EKQ69622
OG0000882	AFZ52968	ACC84473	EKQ69623
OG0000883	AFZ52969	ACC84474	EKQ70032
OG0000884	AFZ52970	ACC83003	EKQ66724
OG0000885	AFZ52971	ACC83588	EKQ71091
OG0000886	AFZ52972	ACC80865	EKQ68144
OG0000887	AFZ52975	ACC82545	EKQ70164
OG0000888	AFZ52976	ACC80094	EKQ69413
OG0000889	AFZ52977	ACC81979	EKQ68601
OG0000890	AFZ52979	ACC83257	EKQ69019
OG0000891	AFZ52980	ACC82470	EKQ70162
OG0000892	AFZ52982	ACC81314	EKQ68705
OG0000893	AFZ52984	ACC84362	EKQ66752
OG0000894	AFZ52985	ACC80990	EKQ71074
OG0000895	AFZ52987	ACC79284	EKQ66982
OG0000896	AFZ52991	ACC79522	EKQ67762
OG0000897	AFZ52992	ACC79101	EKQ70951
OG0000898	AFZ52993	ACC82227	EKQ69979
OG0000899	AFZ52994	ACC78890	EKQ70724
OG0000900	AFZ52995	ACC81269	EKQ70768
OG0000901	AFZ52996	ACC83099	EKQ68143
OG0000902	AFZ52997	ACC84541	EKQ66701
OG0000903	AFZ53001	ACC84837	EKQ68785
OG0000904	AFZ53002	ACC84838	EKQ68784
OG0000905	AFZ53003	ACC81306	EKQ67688
OG0000906	AFZ53004	ACC81307	EKQ67687
OG0000907	AFZ53007	ACC79397	EKQ69301
OG0000908	AFZ53008	ACC84345	EKQ67795
OG0000909	AFZ53011	ACC79620	EKQ67586
OG0000910	AFZ53012	ACC82533	EKQ69952
OG0000911	AFZ53013	ACC82301	EKQ68253
OG0000912	AFZ53015	ACC83882	EKQ69267
OG0000913	AFZ53016	ACC81244	EKQ67218
OG0000914	AFZ53019	ACC84161	EKQ68195
OG0000915	AFZ53021	ACC82495	EKQ67963
OG0000916	AFZ53023	ACC81363	EKQ67833
OG0000917	AFZ53024	ACC80322	EKQ67289
OG0000918	AFZ53025	ACC79636	EKQ68891
OG0000919	AFZ53027	ACC82152	EKQ68854
OG0000920	AFZ53028	ACC80570	EKQ69366
OG0000921	AFZ53029	ACC82426	EKQ69247
OG0000922	AFZ53031	ACC80178	EKQ70273
OG0000923	AFZ53033	ACC83459	EKQ71324
OG0000924	AFZ53035	ACC82494	EKQ67962
OG0000925	AFZ53037	ACC83335	EKQ70079
OG0000926	AFZ53039	ACC78919	EKQ69571
OG0000927	AFZ53043	ACC80362, ACC83051	
OG0000928	AFZ53053	ACC79605	EKQ68807
OG0000929	AFZ53055	ACC84800	EKQ69606
OG0000930	AFZ53056	ACC84801	EKQ69605
OG0000931	AFZ53058	ACC81036	EKQ69359
OG0000932	AFZ53060	ACC79641	EKQ67727
OG0000933	AFZ53061	ACC79659	EKQ69566
OG0000934	AFZ53064	ACC82388	EKQ68541
OG0000935	AFZ53065	ACC83172	EKQ68504
OG0000936	AFZ53066	ACC82540	EKQ69219
OG0000937	AFZ53068	ACC82447	EKQ69361
OG0000938	AFZ53070	ACC84058	EKQ68481
OG0000939	AFZ53071	ACC80095	EKQ69245
OG0000940	AFZ53074	ACC83014	EKQ71197
OG0000941	AFZ53080	ACC84707	EKQ68087
OG0000942	AFZ53081	ACC83886	EKQ69590
OG0000943	AFZ53082	ACC84641	EKQ68592
OG0000944	AFZ53083	ACC79232	EKQ68829
OG0000945	AFZ53084	ACC80543	EKQ71149
OG0000946	AFZ53085	ACC82903	EKQ70496
OG0000947	AFZ53088	ACC79466	EKQ69371
OG0000948	AFZ53089	ACC79468	EKQ69370
OG0000949	AFZ53090	ACC84120	EKQ70013
OG0000950	AFZ53091	ACC82030	EKQ68390
OG0000951	AFZ53092	ACC82029	EKQ68389
OG0000952	AFZ53095	ACC82257	EKQ69616
OG0000953	AFZ53096	ACC82255	EKQ69614
OG0000954	AFZ53097	ACC84094	EKQ69958
OG0000955	AFZ53098	ACC82017	EKQ70767
OG0000956	AFZ53099	ACC84441	EKQ68979
OG0000957	AFZ53100	ACC80057	EKQ70085
OG0000958	AFZ53101	ACC80058	EKQ70084
OG0000959	AFZ53102	ACC80059	EKQ70083
OG0000960	AFZ53103	ACC84309	EKQ70255
OG0000961	AFZ53105	ACC78859	EKQ69743
OG0000962	AFZ53107	ACC83594	EKQ71180
OG0000963	AFZ53108	ACC84287	EKQ69055
OG0000964	AFZ53110	ACC79554	EKQ69875
OG0000965	AFZ53111	ACC79918	EKQ68525
OG0000966	AFZ53112	ACC84813	EKQ70687
OG0000967	AFZ53113	ACC83980	EKQ68279
OG0000968	AFZ53117	ACC84457	EKQ69342
OG0000969	AFZ53118	ACC84315	EKQ66773
OG0000970	AFZ53119	ACC84314	EKQ66774
OG0000971	AFZ53121	ACC84074	EKQ70940
OG0000972	AFZ53122	ACC84073	EKQ70939
OG0000973	AFZ53123	ACC84072	EKQ70938
OG0000974	AFZ53124	ACC84071	EKQ70937
OG0000975	AFZ53127	ACC79804	EKQ70561
OG0000976	AFZ53129	ACC79444	EKQ68747
OG0000977	AFZ53133	ACC81182	EKQ69696
OG0000978	AFZ53134	ACC82900	EKQ67255
OG0000979	AFZ53135	ACC80507	EKQ66991
OG0000980	AFZ53137	ACC82723	EKQ69007
OG0000981	AFZ53138	ACC81406	EKQ69662
OG0000982	AFZ53140	ACC84426	EKQ71008
OG0000983	AFZ53142	ACC79701	EKQ67245
OG0000984	AFZ53143, AFZ53372	ACC78877	
OG0000985	AFZ53144	ACC78863	EKQ68474
OG0000986	AFZ53145	ACC78862	EKQ69749
OG0000987	AFZ53146	ACC83593	EKQ70052
OG0000988	AFZ53148	ACC82018	EKQ71035
OG0000989	AFZ53152	ACC79229	EKQ70826
OG0000990	AFZ53153	ACC79672	EKQ70859
OG0000991	AFZ53154	ACC83871	EKQ68055
OG0000992	AFZ53156	ACC84229	EKQ67091
OG0000993	AFZ53157	ACC84228	EKQ67092
OG0000994	AFZ53158	ACC84665	EKQ71148
OG0000995	AFZ53159	ACC82210	EKQ67048
OG0000996	AFZ53161	ACC82305	EKQ69177
OG0000997	AFZ53177	ACC82516	EKQ71161
OG0000998	AFZ53183	ACC82450	EKQ68745
OG0000999	AFZ53184	ACC79083	EKQ68099
OG0001000	AFZ53186	ACC78891	EKQ69048
OG0001001	AFZ53187	ACC84889	EKQ67566
OG0001002	AFZ53190	ACC79046	EKQ67032
OG0001003	AFZ53192	ACC80381	EKQ67764
OG0001004	AFZ53193	ACC81415	EKQ68856
OG0001005	AFZ53196	ACC78848	EKQ68737
OG0001006	AFZ53199	ACC82082	EKQ67383
OG0001007	AFZ53210	ACC83604	EKQ69088
OG0001008	AFZ53211	ACC82031	EKQ66969
OG0001009	AFZ53212	ACC78854	EKQ69208
OG0001010	AFZ53213	ACC79561	EKQ69775
OG0001011	AFZ53214	ACC81250	EKQ70506
OG0001012	AFZ53215	ACC78918	EKQ69570
OG0001013	AFZ53216	ACC78917	EKQ69569
OG0001014	AFZ53217	ACC84403	EKQ69707
OG0001015	AFZ53218	ACC84402	EKQ69706
OG0001016	AFZ53219	ACC80053	EKQ70088
OG0001017	AFZ53220	ACC81383	EKQ70149
OG0001018	AFZ53226	ACC82692	EKQ67484
OG0001019	AFZ53227	ACC83873	EKQ70976
OG0001020	AFZ53228	ACC83874	EKQ71116
OG0001021	AFZ53229	ACC83875	EKQ71115
OG0001022	AFZ53233	ACC79568	EKQ67519
OG0001023	AFZ53236	ACC84690	EKQ68149
OG0001024	AFZ53237	ACC81446	EKQ71049
OG0001025	AFZ53242	ACC84491	EKQ68800
OG0001026	AFZ53243	ACC79570	EKQ70507
OG0001027	AFZ53244	ACC83321	EKQ67761
OG0001028	AFZ53245	ACC82711	EKQ71092
OG0001029	AFZ53247	ACC78977, ACC81730	
OG0001030	AFZ53248	ACC83515	EKQ69343
OG0001031	AFZ53249	ACC82600	EKQ69299
OG0001032	AFZ53250	ACC80214	EKQ69138
OG0001033	AFZ53251	ACC82327	EKQ70807
OG0001034	AFZ53253	ACC82847	EKQ66770
OG0001035	AFZ53254	ACC78901	EKQ70764
OG0001036	AFZ53257	ACC80084	EKQ68331
OG0001037	AFZ53260	ACC80268	EKQ69450
OG0001038	AFZ53261	ACC80269	EKQ69449
OG0001039	AFZ53262	ACC80270	EKQ69448
OG0001040	AFZ53263	ACC80271	EKQ69447
OG0001041	AFZ53264	ACC80272	EKQ69446
OG0001042	AFZ53265	ACC80273	EKQ69445
OG0001043	AFZ53275	ACC80499	EKQ69039
OG0001044	AFZ53276	ACC83577	EKQ69561
OG0001045	AFZ53279	ACC84497	EKQ66936
OG0001046	AFZ53280	ACC80926	EKQ69527
OG0001047	AFZ53281	ACC83793	EKQ68164
OG0001048	AFZ53282	ACC82722	EKQ69006
OG0001049	AFZ53283	ACC82352	EKQ69352
OG0001050	AFZ53299	ACC79678, ACC83599	
OG0001051	AFZ53302	ACC84443	EKQ69491
OG0001052	AFZ53304	ACC81105	EKQ68561
OG0001053	AFZ53322	ACC79425	EKQ67621
OG0001054	AFZ53325	ACC79427	EKQ68400
OG0001055	AFZ53326, AFZ53327	ACC79430	
OG0001056	AFZ53332	ACC83224	EKQ70854
OG0001057	AFZ53338	ACC80164	EKQ68088
OG0001058	AFZ53341	ACC83840	EKQ69900
OG0001059	AFZ53342	ACC82275	EKQ68780
OG0001060	AFZ53343	ACC83672	EKQ71081
OG0001061	AFZ53350	ACC82381	EKQ69212
OG0001062	AFZ53351	ACC82154	EKQ67263
OG0001063	AFZ53352	ACC82872	EKQ68276
OG0001064	AFZ53353	ACC84389	EKQ67464
OG0001065	AFZ53361	ACC82244	EKQ68667
OG0001066	AFZ53364	ACC80506	EKQ68394
OG0001067	AFZ53366	ACC83087	EKQ67927
OG0001068	AFZ53367	ACC83086	EKQ67928
OG0001069	AFZ53370	ACC82291	EKQ68241
OG0001070	AFZ53371	ACC79964	EKQ66617
OG0001071	AFZ53375	ACC82372	EKQ67436
OG0001072	AFZ53376	ACC80360	EKQ67435
OG0001073	AFZ53379	ACC82528	EKQ69950
OG0001074	AFZ53380	ACC81029	EKQ70979
OG0001075	AFZ53382	ACC82905	EKQ71000
OG0001076	AFZ53383	ACC82906	EKQ71001
OG0001077	AFZ53385	ACC81115	EKQ69145
OG0001078	AFZ53387	ACC83901	EKQ70604
OG0001079	AFZ53390	ACC83607	EKQ69091
OG0001080	AFZ53393	ACC84416	EKQ68731
OG0001081	AFZ53395	ACC84746	EKQ68490
OG0001082	AFZ53397	ACC80155	EKQ70154
OG0001083	AFZ53398	ACC82037	EKQ67183
OG0001084	AFZ53399	ACC84752	EKQ69017
OG0001085	AFZ53400	ACC84756	EKQ69016
OG0001086	AFZ53404	ACC80545	EKQ68565
OG0001087	AFZ53408	ACC82563, ACC82809	
OG0001088	AFZ53412	ACC83168	EKQ68510
OG0001089	AFZ53413	ACC82825	EKQ69899
OG0001090	AFZ53415	ACC83181	EKQ68278
OG0001091	AFZ53417	ACC84471	EKQ69621
OG0001092	AFZ53420	ACC81118	EKQ68186
OG0001093	AFZ53421	ACC82712	EKQ67774
OG0001094	AFZ53422	ACC83701	EKQ71054
OG0001095	AFZ53426	ACC82156	EKQ67265
OG0001096	AFZ53427	ACC82155	EKQ67264
OG0001097	AFZ53429	ACC81914	EKQ67067
OG0001098	AFZ53430	ACC81339	EKQ68710
OG0001099	AFZ53432	ACC80074	EKQ69494
OG0001100	AFZ53433	ACC82830	EKQ68569
OG0001101	AFZ53434, AFZ54844	ACC83238	
OG0001102	AFZ53438	ACC83347	EKQ68828
OG0001103	AFZ53447	ACC82349	EKQ68970
OG0001104	AFZ53449	ACC82348	EKQ68969
OG0001105	AFZ53450	ACC79650	EKQ68136
OG0001106	AFZ53451	ACC81431	EKQ70989
OG0001107	AFZ53453	ACC79624	EKQ68939
OG0001108	AFZ53455	ACC81901	EKQ68047
OG0001109	AFZ53456	ACC81902	EKQ68046
OG0001110	AFZ53457	ACC81903	EKQ68044
OG0001111	AFZ53459	ACC79673	EKQ70860
OG0001112	AFZ53460	ACC79105	EKQ71189
OG0001113	AFZ53461	ACC82783	EKQ68318
OG0001114	AFZ53462	ACC82271	EKQ68776
OG0001115	AFZ53463	ACC78885	EKQ70717
OG0001116	AFZ53464	ACC80887	EKQ68142
OG0001117	AFZ53465	ACC82145	EKQ70137
OG0001118	AFZ53467	ACC78855	EKQ69209
OG0001119	AFZ53468	ACC79646	EKQ67533
OG0001120	AFZ53469	ACC81360, ACC85263	
OG0001121	AFZ53472	ACC82201	EKQ67258
OG0001122	AFZ53473	ACC84630	EKQ71056
OG0001123	AFZ53475	ACC84114	EKQ71068
OG0001124	AFZ53476	ACC84115	EKQ67054
OG0001125	AFZ53478	ACC80923	EKQ68577
OG0001126	AFZ53484	ACC82894	EKQ67389
OG0001127	AFZ53485	ACC82895	EKQ67388
OG0001128	AFZ53486	ACC82370	EKQ70815
OG0001129	AFZ53487	ACC81952	EKQ68635
OG0001130	AFZ53488	ACC82764	EKQ68888
OG0001131	AFZ53489	ACC82521	EKQ67744
OG0001132	AFZ53493	ACC84012	EKQ68182
OG0001133	AFZ53495, AFZ55261	ACC84733	
OG0001134	AFZ53503	ACC80372	EKQ68083
OG0001135	AFZ53504	ACC82250	EKQ68661
OG0001136	AFZ53505	ACC81287	EKQ68267
OG0001137	AFZ53506	ACC83836	EKQ69903
OG0001138	AFZ53507	ACC83835	EKQ69904
OG0001139	AFZ53508	ACC81108	EKQ70631
OG0001140	AFZ53509	ACC82075	EKQ68256
OG0001141	AFZ53513	ACC83273	EKQ69381
OG0001142	AFZ53514	ACC83581	EKQ71150
OG0001143	AFZ53515	ACC84246	EKQ68798
OG0001144	AFZ53516	ACC84576	EKQ67694
OG0001145	AFZ53517	ACC83281	EKQ70943
OG0001146	AFZ53520	ACC79091	EKQ69505
OG0001147	AFZ53521, AFZ53638		EKQ66810
OG0001148	AFZ53522	ACC83851	EKQ69818
OG0001149	AFZ53523	ACC83852	EKQ69819
OG0001150	AFZ53524	ACC83853	EKQ69820
OG0001151	AFZ53526	ACC82338	EKQ67459
OG0001152	AFZ53528	ACC83323	EKQ67449
OG0001153	AFZ53531, AFZ55194		EKQ70343
OG0001154	AFZ53532	ACC83885	EKQ71072
OG0001155	AFZ53536	ACC82289	EKQ69840
OG0001156	AFZ53538	ACC78970	EKQ69640
OG0001157	AFZ53540	ACC83481	EKQ66742
OG0001158	AFZ53546	ACC81322	EKQ69687
OG0001159	AFZ53547	ACC82241	EKQ68687
OG0001160	AFZ53552	ACC83022	EKQ70712
OG0001161	AFZ53556	ACC83872	EKQ70977
OG0001162	AFZ53557	ACC81490	EKQ70489
OG0001163	AFZ53558	ACC81289	EKQ69400
OG0001164	AFZ53560	ACC82823	EKQ68449
OG0001165	AFZ53561	ACC80555	EKQ66880
OG0001166	AFZ53562	ACC82371	EKQ66725
OG0001167	AFZ53563	ACC80206	EKQ67781
OG0001168	AFZ53564	ACC83936	EKQ70705
OG0001169	AFZ53565	ACC83506	EKQ67185
OG0001170	AFZ53566	ACC80367	EKQ67229
OG0001171	AFZ53567	ACC79274	EKQ68652
OG0001172	AFZ53569	ACC83814	EKQ68257
OG0001173	AFZ53571	ACC81366	EKQ71131
OG0001174	AFZ53572	ACC80806	EKQ66864
OG0001175	AFZ53573	ACC83363	EKQ69479
OG0001176	AFZ53574	ACC84049	EKQ66682
OG0001177	AFZ53575	ACC79748	EKQ67816
OG0001178	AFZ53581	ACC83495	EKQ67456
OG0001179	AFZ53583	ACC79664	EKQ69849
OG0001180	AFZ53586	ACC79781	EKQ66861
OG0001181	AFZ53589	ACC82501	EKQ68307
OG0001182	AFZ53590	ACC84903, ACC85293	
OG0001183	AFZ53591	ACC82992	EKQ70469
OG0001184	AFZ53592	ACC84011	EKQ68181
OG0001185	AFZ53593	ACC80999	EKQ67521
OG0001186	AFZ53594	ACC84217	EKQ69837
OG0001187	AFZ53595	ACC79587	EKQ68772
OG0001188	AFZ53597	ACC83277	EKQ69867
OG0001189	AFZ53598	ACC83741	EKQ70970
OG0001190	AFZ53599	ACC82351	EKQ68971
OG0001191	AFZ53600	ACC81874	EKQ70992
OG0001192	AFZ53603, AFZ54471		EKQ70804
OG0001193	AFZ53606	ACC81909	EKQ71167
OG0001194	AFZ53609	ACC79325	EKQ70028
OG0001195	AFZ53615	ACC83694	EKQ69080
OG0001196	AFZ53617	ACC81870	EKQ68851
OG0001197	AFZ53618	ACC84063	EKQ68260
OG0001198	AFZ53619	ACC82641	EKQ69405
OG0001199	AFZ53620	ACC81892	EKQ68382
OG0001200	AFZ53622	ACC81893	EKQ68381
OG0001201	AFZ53623	ACC84427	EKQ70166
OG0001202	AFZ53625, AFZ54758		EKQ69964
OG0001203	AFZ53627	ACC84322	EKQ69713
OG0001204	AFZ53629	ACC80368	EKQ68079
OG0001205	AFZ53631	ACC79270	EKQ70573
OG0001206	AFZ53633	ACC84040	EKQ70039
OG0001207	AFZ53634	ACC84086	EKQ68187
OG0001208	AFZ53635	ACC78832	EKQ67649
OG0001209	AFZ53639	ACC79593	EKQ70540
OG0001210	AFZ53640	ACC79069	EKQ66666
OG0001211	AFZ53641	ACC79068	EKQ66665
OG0001212	AFZ53642	ACC82864	EKQ66767
OG0001213	AFZ53643	ACC84778	EKQ68690
OG0001214	AFZ53647	ACC83442	EKQ69205
OG0001215	AFZ53649	ACC83038	EKQ67905
OG0001216	AFZ53650	ACC83037	EKQ67904
OG0001217	AFZ53652	ACC84720	EKQ70081
OG0001218	AFZ53653	ACC84517	EKQ69356
OG0001219	AFZ53654	ACC84673	EKQ69263
OG0001220	AFZ53656	ACC83272	EKQ69144
OG0001221	AFZ53657	ACC79052	EKQ70752
OG0001222	AFZ53660	ACC84556	EKQ67933
OG0001223	AFZ53661	ACC83819	EKQ67481
OG0001224	AFZ53662	ACC84085	EKQ68188
OG0001225	AFZ53664	ACC82385	EKQ70993
OG0001226	AFZ53665	ACC84649	EKQ69481
OG0001227	AFZ53666	ACC81063	EKQ67786
OG0001228	AFZ53667	ACC78858	EKQ69744
OG0001229	AFZ53669	ACC84238	EKQ67956
OG0001230	AFZ53670	ACC84239	EKQ67955
OG0001231	AFZ53671	ACC84240	EKQ67954
OG0001232	AFZ53672	ACC80917	EKQ67244
OG0001233	AFZ53674	ACC84336	EKQ70509
OG0001234	AFZ53675	ACC83327	EKQ67447
OG0001235	AFZ53676	ACC83328	EKQ67446
OG0001236	AFZ53677	ACC83329	EKQ67445
OG0001237	AFZ53678	ACC83331	EKQ67443
OG0001238	AFZ53682	ACC84029	EKQ68764
OG0001239	AFZ53685	ACC83282	EKQ70942
OG0001240	AFZ53686	ACC83283	EKQ70941
OG0001241	AFZ53687, AFZ53839	ACC80445	
OG0001242	AFZ53690	ACC83322	EKQ67760
OG0001243	AFZ53691	ACC83503	EKQ70161
OG0001244	AFZ53692	ACC82413	EKQ68396
OG0001245	AFZ53693	ACC82834	EKQ70181
OG0001246	AFZ53694	ACC79420	EKQ70960
OG0001247	AFZ53695	ACC82778	EKQ67224
OG0001248	AFZ53699	ACC82415	EKQ70502
OG0001249	AFZ53700	ACC78926	EKQ68700
OG0001250	AFZ53701	ACC78898	EKQ69637
OG0001251	AFZ53702	ACC83538	EKQ70788
OG0001252	AFZ53703	ACC84059	EKQ68479
OG0001253	AFZ53709	ACC84550	EKQ70835
OG0001254	AFZ53711	ACC78886	EKQ70722
OG0001255	AFZ53712	ACC83592	EKQ68397
OG0001256	AFZ53714	ACC83320	EKQ66772
OG0001257	AFZ53715	ACC84530	EKQ69087
OG0001258	AFZ53716	ACC82994	EKQ68692
OG0001259	AFZ53717	ACC79287	EKQ70510
OG0001260	AFZ53722	ACC79063	EKQ68896
OG0001261	AFZ53724	ACC83548	EKQ71308
OG0001262	AFZ53725	ACC83547	EKQ71307
OG0001263	AFZ53726	ACC83122	EKQ68938
OG0001264	AFZ53727	ACC84570	EKQ69504
OG0001265	AFZ53728	ACC82603	EKQ69296
OG0001266	AFZ53729	ACC80306	EKQ71100
OG0001267	AFZ53730	ACC83927	EKQ70663
OG0001268	AFZ53731	ACC83928	EKQ70662
OG0001269	AFZ53733	ACC81067	EKQ66630
OG0001270	AFZ53734	ACC80218	EKQ71247
OG0001271	AFZ53735	ACC78819	EKQ68542
OG0001272	AFZ53736	ACC81396	EKQ68563
OG0001273	AFZ53739	ACC83824	EKQ71277
OG0001274	AFZ53745	ACC81725	EKQ68015
OG0001275	AFZ53748	ACC80574	EKQ69187
OG0001276	AFZ53754	ACC82793	EKQ67626
OG0001277	AFZ53755	ACC84529	EKQ69086
OG0001278	AFZ53759	ACC83514	EKQ68050
OG0001279	AFZ53761	ACC80495	EKQ69695
OG0001280	AFZ53762	ACC81083	EKQ70776
OG0001281	AFZ53764	ACC83153	EKQ68364
OG0001282	AFZ53765	ACC83790	EKQ67840
OG0001283	AFZ53766	ACC83432	EKQ67853
OG0001284	AFZ53767	ACC79273	EKQ66968
OG0001285	AFZ53768	ACC78829	EKQ66760
OG0001286	AFZ53774	ACC80569	EKQ69365
OG0001287	AFZ53775	ACC80568	EKQ69364
OG0001288	AFZ53778	ACC83444	EKQ68134
OG0001289	AFZ53780	ACC81352	EKQ70816
OG0001290	AFZ53781	ACC82861	EKQ67418
OG0001291	AFZ53782	ACC84116	EKQ67053
OG0001292	AFZ53786	ACC84651	EKQ70775
OG0001293	AFZ53789	ACC82020	EKQ69851
OG0001294	AFZ53791	ACC84708	EKQ69378
OG0001295	AFZ53795	ACC80382	EKQ67763
OG0001296	AFZ53796	ACC82287	EKQ69842
OG0001297	AFZ53798	ACC82367	EKQ70035
OG0001298	AFZ53799	ACC79408	EKQ68420
OG0001299	AFZ53800	ACC81068	EKQ66629
OG0001300	AFZ53801	ACC82616	EKQ70784
OG0001301	AFZ53802	ACC82589	EKQ71070
OG0001302	AFZ53803	ACC79372	EKQ68787
OG0001303	AFZ53804	ACC80802, ACC84671	
OG0001304	AFZ53806	ACC83220	EKQ69768
OG0001305	AFZ53807	ACC81989	EKQ67696
